"date","no","co","pm10","pm25","odd_even","day_type"
2015-12-01 05:30:00,93.61,2.62,357.69,200.26,"NORMAL","WEEKDAY"
2015-12-02 05:30:00,143.97,3.02,423.06,207.68,"NORMAL","WEEKDAY"
2015-12-03 05:30:00,61.96,2.1,432.28,223.81,"NORMAL","WEEKDAY"
2015-12-04 05:30:00,182.93,3.5,506.44,321.26,"NORMAL","WEEKDAY"
2015-12-05 05:30:00,409.98,6.24,509.14,550.23,"NORMAL","WEEKEND"
2015-12-06 05:30:00,307.9,5.7,555.18,285.2,"NORMAL","WEEKEND"
2015-12-07 05:30:00,210.87,4.48,456.76,261.64,"NORMAL","WEEKDAY"
2015-12-08 05:30:00,332.48,5.82,507.37,248.03,"NORMAL","WEEKDAY"
2015-12-09 05:30:00,151.22,3.7,390.62,247.13,"NORMAL","WEEKDAY"
2015-12-10 05:30:00,136.63,3.74,415.32,240.03,"NORMAL","WEEKDAY"
2015-12-11 05:30:00,104.28,2.86,467.56,243.82,"NORMAL","WEEKDAY"
2015-12-12 05:30:00,51.88,1.97,353.27,221.43,"NORMAL","WEEKEND"
2015-12-13 05:30:00,139.45,2.22,290.25,232,"NORMAL","WEEKEND"
2015-12-14 05:30:00,159.2,2.17,333.01,NA,"NORMAL","WEEKDAY"
2015-12-22 05:30:00,375.55,6.85,705.7,349.05,"NORMAL","WEEKDAY"
2015-12-23 05:30:00,198.7,4.06,624.42,442.18,"NORMAL","WEEKDAY"
2015-12-24 05:30:00,154.9,3.49,374.28,214.22,"NORMAL","WEEKDAY"
2015-12-25 05:30:00,64.38,1.81,288.81,171.2,"NORMAL","WEEKDAY"
2015-12-26 05:30:00,105.34,2.48,364.51,233.5,"NORMAL","WEEKEND"
2015-12-27 05:30:00,46.76,1.9,389.32,255.28,"NORMAL","WEEKEND"
2015-12-28 05:30:00,13.52,1.36,309.34,174.42,"NORMAL","WEEKDAY"
2015-12-29 05:30:00,41.91,1.62,370.47,196.2,"NORMAL","WEEKDAY"
2015-12-30 05:30:00,197.31,3.58,414.98,279.05,"NORMAL","WEEKDAY"
2015-12-31 05:30:00,249.86,4.33,411.61,274.42,"NORMAL","WEEKDAY"
2016-01-01 05:30:00,276.34,3.81,572.48,411.9,"ODD-EVEN","WEEKDAY"
2016-01-02 05:30:00,182.05,2.95,416.27,288.64,"ODD-EVEN","WEEKEND"
2016-01-03 05:30:00,151.42,3.73,539.71,391.96,"ODD-EVEN","WEEKEND"
2016-01-04 05:30:00,339.68,5.28,637.94,448.18,"ODD-EVEN","WEEKDAY"
2016-01-05 05:30:00,169.76,5.56,524.32,333.82,"ODD-EVEN","WEEKDAY"
2016-01-06 05:30:00,345.87,8,541.37,370.43,"ODD-EVEN","WEEKDAY"
2016-01-07 05:30:00,364.86,7.19,635.61,417.8,"ODD-EVEN","WEEKDAY"
2016-01-08 05:30:00,127.37,3.75,477.85,322.06,"ODD-EVEN","WEEKDAY"
2016-01-09 05:30:00,69.07,2.2,332.37,204.16,"ODD-EVEN","WEEKEND"
2016-01-10 05:30:00,172.35,3.21,333.03,195.46,"ODD-EVEN","WEEKEND"
2016-01-11 05:30:00,361.75,5.45,450.96,243.85,"ODD-EVEN","WEEKDAY"
2016-01-12 05:30:00,175.69,3.28,350.9,160.26,"ODD-EVEN","WEEKDAY"
2016-01-13 05:30:00,39.79,2.12,417.57,270.73,"ODD-EVEN","WEEKDAY"
2016-01-14 05:30:00,34.48,1.62,337.89,208.99,"ODD-EVEN","WEEKDAY"
2016-01-15 05:30:00,17.29,1.22,265.67,156.26,"ODD-EVEN","WEEKDAY"
2016-01-16 05:30:00,18.99,1.13,265.17,140.71,"NORMAL","WEEKEND"
2016-01-17 05:30:00,57.97,1.65,292.78,180.65,"NORMAL","WEEKEND"
2016-01-18 05:30:00,163.24,3.14,455.69,260.65,"NORMAL","WEEKDAY"
2016-01-19 05:30:00,27.6,1.78,422.25,248.74,"NORMAL","WEEKDAY"
2016-01-20 05:30:00,39.79,1.79,411.94,233.21,"NORMAL","WEEKDAY"
2016-01-21 05:30:00,101.95,2.63,379.93,220.31,"NORMAL","WEEKDAY"
2016-01-22 05:30:00,133.22,3.2,480.18,305.39,"NORMAL","WEEKDAY"
2016-01-23 05:30:00,120.63,3.63,554.65,269.05,"NORMAL","WEEKEND"
2016-01-24 05:30:00,34.97,2.64,410.3,289.42,"NORMAL","WEEKEND"
2016-01-25 05:30:00,60.38,2.02,382.41,208.46,"NORMAL","WEEKDAY"
2016-01-26 05:30:00,59.62,2.8,484.23,306.21,"NORMAL","WEEKDAY"
2016-01-27 05:30:00,152.31,3.6,405.19,232.53,"NORMAL","WEEKDAY"
2016-01-28 05:30:00,276.42,4.27,462.3,217.52,"NORMAL","WEEKDAY"
2016-01-29 05:30:00,278.73,4.51,525.4,246.44,"NORMAL","WEEKDAY"
2016-01-30 05:30:00,201.14,5.34,543.76,256.06,"NORMAL","WEEKEND"
2016-01-31 05:30:00,58.23,2.01,319.89,192.43,"NORMAL","WEEKEND"
2016-02-01 05:30:00,52.42,1.47,269.99,131.82,"NORMAL","WEEKDAY"
2016-02-02 05:30:00,76.6,1.79,348.68,152.24,"NORMAL","WEEKDAY"
2016-02-03 05:30:00,37.41,1.42,385.27,138.77,"NORMAL","WEEKDAY"
2016-02-04 05:30:00,135.54,2.28,362.48,138.9,"NORMAL","WEEKDAY"
2016-02-05 05:30:00,186.44,3.09,463.29,183.98,"NORMAL","WEEKDAY"
2016-02-06 05:30:00,270.09,3.67,372.09,153.3,"NORMAL","WEEKEND"
2016-02-07 05:30:00,43.53,1.81,268.78,172.56,"NORMAL","WEEKEND"
2016-02-08 05:30:00,77.04,1.85,226.85,125.65,"NORMAL","WEEKDAY"
2016-02-09 05:30:00,99.49,2.2,333.33,191.43,"NORMAL","WEEKDAY"
2016-02-10 05:30:00,205.6,3.09,435.96,217.49,"NORMAL","WEEKDAY"
2016-02-11 05:30:00,168.95,2.72,364.7,131.6,"NORMAL","WEEKDAY"
2016-02-12 05:30:00,88.59,2.1,367.3,128.37,"NORMAL","WEEKDAY"
2016-02-13 05:30:00,39.02,1.41,322.89,124.55,"NORMAL","WEEKEND"
2016-02-14 05:30:00,31.08,1.47,220.69,108.47,"NORMAL","WEEKEND"
2016-02-15 05:30:00,43.79,1.71,303.77,114.59,"NORMAL","WEEKDAY"
2016-02-16 05:30:00,45.89,1.62,290.42,116.5,"NORMAL","WEEKDAY"
2016-02-17 05:30:00,39.59,1.62,306.18,125.39,"NORMAL","WEEKDAY"
2016-02-18 05:30:00,52.37,1.91,279.39,151.29,"NORMAL","WEEKDAY"
2016-02-19 05:30:00,86.2,2.38,338.22,173.4,"NORMAL","WEEKDAY"
2016-02-20 05:30:00,93.83,2.14,229.71,116.86,"NORMAL","WEEKEND"
2016-02-21 05:30:00,1.72,0.82,138.6,52.86,"NORMAL","WEEKEND"
2016-02-22 05:30:00,15.95,1.1,175.12,83.29,"NORMAL","WEEKDAY"
2016-02-23 05:30:00,115.15,2.04,296.12,71.81,"NORMAL","WEEKDAY"
2016-02-24 05:30:00,240.66,3.63,388.41,133.07,"NORMAL","WEEKDAY"
2016-02-25 05:30:00,171.71,1.91,292.81,99.44,"NORMAL","WEEKDAY"
2016-02-26 05:30:00,185.16,2.65,304.36,110.81,"NORMAL","WEEKDAY"
2016-02-27 05:30:00,266.54,3.43,358.75,88.83,"NORMAL","WEEKEND"
2016-02-28 05:30:00,254.5,3.45,231.7,138.45,"NORMAL","WEEKEND"
2016-02-29 05:30:00,230.22,3.55,223.01,151.36,"NORMAL","WEEKDAY"
2016-03-01 05:30:00,316.15,4.62,284.7,203.77,"NORMAL","WEEKDAY"
2016-03-02 05:30:00,268.68,3.6,255.1,182.76,"NORMAL","WEEKDAY"
2016-03-03 05:30:00,202.38,3.17,310.75,122.56,"NORMAL","WEEKDAY"
2016-03-04 05:30:00,54.21,1.82,258.7,113.01,"NORMAL","WEEKDAY"
2016-03-05 05:30:00,10.19,0.89,196.4,52.53,"NORMAL","WEEKEND"
2016-03-06 05:30:00,16.03,1.34,89.54,50.98,"NORMAL","WEEKEND"
2016-03-07 05:30:00,23.81,1.39,207.48,87.51,"NORMAL","WEEKDAY"
2016-03-08 05:30:00,23.45,1.37,163.95,86.09,"NORMAL","WEEKDAY"
2016-03-09 05:30:00,93.12,2.02,197.54,93.54,"NORMAL","WEEKDAY"
2016-03-10 05:30:00,103.44,2.38,277.3,151.22,"NORMAL","WEEKDAY"
2016-03-11 05:30:00,480.9,5.6,NA,NA,"NORMAL","WEEKDAY"
2016-03-14 05:30:00,138.83,2.37,155.17,70.18,"NORMAL","WEEKDAY"
2016-03-15 05:30:00,211.36,2.62,187.78,102.3,"NORMAL","WEEKDAY"
2016-03-16 05:30:00,11.08,1.04,139.24,61.52,"NORMAL","WEEKDAY"
2016-03-17 05:30:00,29.65,1.25,161.94,68.12,"NORMAL","WEEKDAY"
2016-03-18 05:30:00,83.33,2.08,204.33,89.58,"NORMAL","WEEKDAY"
2016-03-19 05:30:00,186.04,3.17,271.47,122.41,"NORMAL","WEEKEND"
2016-03-20 05:30:00,103.85,1.92,215.58,112.46,"NORMAL","WEEKEND"
2016-03-21 05:30:00,6.26,1.5,133.24,50.08,"NORMAL","WEEKDAY"
2016-03-22 05:30:00,1.76,1.5,134.67,34.66,"NORMAL","WEEKDAY"
2016-03-23 05:30:00,82.27,1.5,191.66,91.35,"NORMAL","WEEKDAY"
2016-03-24 05:30:00,154.75,2.14,327.07,185.7,"NORMAL","WEEKDAY"
2016-03-25 05:30:00,75.33,2.73,282.49,149.37,"NORMAL","WEEKDAY"
2016-03-26 05:30:00,14.7,0.96,138.86,64.39,"NORMAL","WEEKEND"
2016-03-27 05:30:00,10.91,0.76,98.74,52.1,"NORMAL","WEEKEND"
2016-03-28 05:30:00,30.24,1.05,125.2,77.68,"NORMAL","WEEKDAY"
2016-03-29 05:30:00,9.41,0.96,188.39,97.28,"NORMAL","WEEKDAY"
2016-03-30 05:30:00,127.71,2.47,244.96,102.3,"NORMAL","WEEKDAY"
2016-03-31 05:30:00,206.95,3.26,296.22,142.73,"NORMAL","WEEKDAY"
2016-04-03 05:30:00,6.65,1.85,291.7,140.65,"NORMAL","WEEKEND"
2016-04-04 05:30:00,1.41,0.7,226.24,107.92,"NORMAL","WEEKDAY"
2016-04-05 05:30:00,17.62,1,173.17,61.57,"NORMAL","WEEKDAY"
2016-04-06 05:30:00,58.28,1.78,217.24,90.53,"NORMAL","WEEKDAY"
2016-04-07 05:30:00,37.33,1.37,271.38,116.69,"NORMAL","WEEKDAY"
2016-04-08 05:30:00,84.39,0.5,181.59,77.29,"NORMAL","WEEKDAY"
2016-04-09 05:30:00,123.78,1.09,272.3,127.71,"NORMAL","WEEKEND"
2016-04-10 05:30:00,47.32,1.32,201.94,86.76,"NORMAL","WEEKEND"
2016-04-11 05:30:00,2.12,0.52,251.6,77.23,"NORMAL","WEEKDAY"
2016-04-12 05:30:00,2.49,0.6,240.3,74.81,"NORMAL","WEEKDAY"
2016-04-13 05:30:00,39.22,1.21,337.2,110.49,"NORMAL","WEEKDAY"
2016-04-14 05:30:00,75.1,1.67,327.22,131.82,"NORMAL","WEEKDAY"
2016-04-15 05:30:00,118.03,2.41,312.41,136.95,"ODD-EVEN","WEEKDAY"
2016-04-17 05:30:00,29.13,0.96,315.92,108.41,"ODD-EVEN","WEEKEND"
2016-04-18 05:30:00,49.54,1.48,283.21,105.52,"ODD-EVEN","WEEKDAY"
2016-04-19 05:30:00,101.62,2.29,378.31,160.05,"ODD-EVEN","WEEKDAY"
2016-04-20 05:30:00,15.29,1.6,359.76,132.6,"ODD-EVEN","WEEKDAY"
2016-04-21 05:30:00,12.53,0.93,362.42,116.66,"ODD-EVEN","WEEKDAY"
2016-04-22 05:30:00,34.54,0.98,299.04,146.71,"ODD-EVEN","WEEKDAY"
2016-04-23 05:30:00,94.84,1.82,278.81,126.37,"ODD-EVEN","WEEKEND"
2016-04-24 05:30:00,168.75,2.65,319.43,163.89,"ODD-EVEN","WEEKEND"
2016-04-25 05:30:00,109.91,2.47,290.56,128.23,"ODD-EVEN","WEEKDAY"
2016-04-26 05:30:00,260.68,3.94,380.64,176.09,"ODD-EVEN","WEEKDAY"
2016-04-27 05:30:00,287.67,3.88,439.03,221.67,"ODD-EVEN","WEEKDAY"
2016-04-28 05:30:00,161.22,2.9,494.28,245.86,"ODD-EVEN","WEEKDAY"
2016-04-29 05:30:00,120.32,2.91,411.01,197.8,"ODD-EVEN","WEEKDAY"
2016-05-03 05:30:00,11.59,1.51,399.96,150.74,"NORMAL","WEEKDAY"
2016-05-04 05:30:00,37.3,1.37,368.98,148.99,"NORMAL","WEEKDAY"
2016-05-05 05:30:00,8.56,0.81,163.66,65.95,"NORMAL","WEEKDAY"
2016-05-06 05:30:00,36.49,1.15,130.78,59.72,"NORMAL","WEEKDAY"
2016-05-07 05:30:00,8.85,1.12,176.87,87.66,"NORMAL","WEEKEND"
2016-05-08 05:30:00,16.94,1.45,228.33,108.38,"NORMAL","WEEKEND"
2016-05-09 05:30:00,3.92,1.08,179.73,98.07,"NORMAL","WEEKDAY"
2016-05-10 05:30:00,6.14,1.05,171.49,79.69,"NORMAL","WEEKDAY"
2016-05-11 05:30:00,3.76,1.04,108.32,62.41,"NORMAL","WEEKDAY"
2016-05-12 05:30:00,23.46,1.58,189.14,90.06,"NORMAL","WEEKDAY"
2016-05-13 05:30:00,29.92,1.23,217.65,89.94,"NORMAL","WEEKDAY"
2016-05-14 05:30:00,76.89,2.1,246.55,110.15,"NORMAL","WEEKEND"
2016-05-15 05:30:00,117.32,2.86,308.47,140.45,"NORMAL","WEEKEND"
2016-05-16 05:30:00,50.69,1.35,211.92,109.38,"NORMAL","WEEKDAY"
2016-05-17 05:30:00,36.82,1.55,258.16,117.97,"NORMAL","WEEKDAY"
2016-05-18 05:30:00,115.32,2.62,320.98,188.37,"NORMAL","WEEKDAY"
2016-05-19 05:30:00,10.24,3.21,258.38,116.11,"NORMAL","WEEKDAY"
2016-05-20 05:30:00,9.54,4.69,232.93,93.97,"NORMAL","WEEKDAY"
2016-05-21 05:30:00,1.83,1.07,310.93,114.22,"NORMAL","WEEKEND"
2016-05-22 05:30:00,1.86,1.07,239.99,98.33,"NORMAL","WEEKEND"
2016-05-23 05:30:00,5.73,0.84,206.36,93.58,"NORMAL","WEEKDAY"
2016-05-24 05:30:00,19.87,1,157.33,66.71,"NORMAL","WEEKDAY"
2016-05-25 05:30:00,29.8,1.15,316.79,127.84,"NORMAL","WEEKDAY"
2016-05-26 05:30:00,57.06,0.91,438.37,161.62,"NORMAL","WEEKDAY"
2016-05-27 05:30:00,48.15,0.91,596.41,287.42,"NORMAL","WEEKDAY"
2016-05-28 05:30:00,14.21,0.81,434.31,157.15,"NORMAL","WEEKEND"
2016-05-29 05:30:00,1.64,0.63,216.53,63.49,"NORMAL","WEEKEND"
2016-05-30 05:30:00,34.38,1.27,118.35,58.36,"NORMAL","WEEKDAY"
2016-05-31 05:30:00,23.09,1.08,182.48,77.29,"NORMAL","WEEKDAY"
2016-06-01 05:30:00,18.38,0.98,193.98,79.42,"NORMAL","WEEKDAY"
2016-06-02 05:30:00,27.53,1.2,254.38,96.1,"NORMAL","WEEKDAY"
2016-06-03 05:30:00,101.74,2.38,338.08,133.73,"NORMAL","WEEKDAY"
2016-06-04 05:30:00,29.31,1.83,282.64,125.23,"NORMAL","WEEKEND"
2016-06-05 05:30:00,1.75,1.02,198.91,90.14,"NORMAL","WEEKEND"
2016-06-06 05:30:00,6.7,0.97,262.35,97.24,"NORMAL","WEEKDAY"
2016-06-07 05:30:00,6.06,3.16,160.77,70.01,"NORMAL","WEEKDAY"
2016-06-08 05:30:00,5.64,2.37,175.65,79.52,"NORMAL","WEEKDAY"
2016-06-09 05:30:00,14.76,1.06,247.89,91.03,"NORMAL","WEEKDAY"
2016-06-10 05:30:00,8.71,0.88,295.77,112.85,"NORMAL","WEEKDAY"
2016-06-11 05:30:00,2.82,0.76,190.88,67.95,"NORMAL","WEEKEND"
2016-06-12 05:30:00,1.85,0.75,218.09,89.13,"NORMAL","WEEKEND"
2016-06-13 05:30:00,3.99,0.7,379.07,138.38,"NORMAL","WEEKDAY"
2016-06-14 05:30:00,9.44,0.86,196.58,81.18,"NORMAL","WEEKDAY"
2016-06-15 05:30:00,6.55,1.06,358.19,136.7,"NORMAL","WEEKDAY"
2016-06-16 05:30:00,3.46,0.78,138.84,60.99,"NORMAL","WEEKDAY"
2016-06-17 05:30:00,16.99,1.11,178.49,70.51,"NORMAL","WEEKDAY"
2016-06-18 05:30:00,3.96,0.92,169.02,73.67,"NORMAL","WEEKEND"
2016-06-19 05:30:00,4.43,0.78,113.26,NA,"NORMAL","WEEKEND"
2016-06-20 05:30:00,14.29,1.04,99.23,NA,"NORMAL","WEEKDAY"
2016-06-21 05:30:00,5.58,0.89,69.77,18.55,"NORMAL","WEEKDAY"
2016-06-22 05:30:00,8.49,1.81,213.68,52.34,"NORMAL","WEEKDAY"
2016-06-23 05:30:00,3.96,1.04,111.58,42.57,"NORMAL","WEEKDAY"
2016-06-24 05:30:00,5.56,1.27,411.97,81.28,"NORMAL","WEEKDAY"
2016-06-25 05:30:00,3.13,1.27,221.21,78.13,"NORMAL","WEEKEND"
2016-06-27 05:30:00,3.99,1.06,157.5,57.61,"NORMAL","WEEKDAY"
2016-06-28 05:30:00,12.3,1.04,94.94,45.22,"NORMAL","WEEKDAY"
2016-06-29 05:30:00,5.97,0.96,96.33,36.93,"NORMAL","WEEKDAY"
2016-06-30 05:30:00,4.39,0.92,100.33,37.75,"NORMAL","WEEKDAY"
2016-07-01 05:30:00,2.47,0.89,74.3,32.4,"NORMAL","WEEKDAY"
2016-07-02 05:30:00,9.34,0.96,69.08,32.77,"NORMAL","WEEKEND"
2016-07-03 05:30:00,2.99,1.01,111.75,51.65,"NORMAL","WEEKEND"
2016-07-04 05:30:00,18.28,1.16,89.68,43.81,"NORMAL","WEEKDAY"
2016-07-05 05:30:00,17.49,1.27,137.34,65.32,"NORMAL","WEEKDAY"
2016-07-06 05:30:00,4.4,0.99,148.37,64.81,"NORMAL","WEEKDAY"
2016-07-07 05:30:00,2.8,0.82,102.73,38.28,"NORMAL","WEEKDAY"
2016-07-08 05:30:00,11.12,1.16,125.71,52.26,"NORMAL","WEEKDAY"
2016-07-09 05:30:00,9.04,1.02,102.08,47.65,"NORMAL","WEEKEND"
2016-07-10 05:30:00,7.26,0.87,82.93,38.18,"NORMAL","WEEKEND"
2016-07-11 05:30:00,7.29,0.85,85.66,38.51,"NORMAL","WEEKDAY"
2016-07-12 05:30:00,48.24,0.79,85.13,30.63,"NORMAL","WEEKDAY"
2016-07-13 05:30:00,72.46,0.8,124.57,53.82,"NORMAL","WEEKDAY"
2016-07-14 05:30:00,32.26,1.3,59.93,28.21,"NORMAL","WEEKDAY"
2016-07-15 05:30:00,14.31,0.91,77.59,39.74,"NORMAL","WEEKDAY"
2016-07-16 05:30:00,7.93,0.96,56.1,25.96,"NORMAL","WEEKEND"
2016-07-17 05:30:00,4.17,0.79,45,24,"NORMAL","WEEKEND"
2016-07-18 05:30:00,19.9,1.06,73.63,43.05,"NORMAL","WEEKDAY"
2016-07-19 05:30:00,8.72,0.68,137.03,34.7,"NORMAL","WEEKDAY"
2016-07-20 05:30:00,20.28,1.04,169.9,50.86,"NORMAL","WEEKDAY"
2016-07-21 05:30:00,16.73,0.95,167.27,39.56,"NORMAL","WEEKDAY"
2016-07-22 05:30:00,6.8,1.13,161.24,52.46,"NORMAL","WEEKDAY"
2016-07-23 05:30:00,3.85,0.62,92.84,39.87,"NORMAL","WEEKEND"
2016-07-24 05:30:00,31.84,1.96,190.25,80.38,"NORMAL","WEEKEND"
2016-07-25 05:30:00,12.2,1.34,177.63,NA,"NORMAL","WEEKDAY"
2016-07-26 05:30:00,6.84,1.06,104.75,46.59,"NORMAL","WEEKDAY"
2016-07-27 05:30:00,32.52,1.25,76.05,41.48,"NORMAL","WEEKDAY"
2016-07-28 05:30:00,22.27,1.09,61.97,34.33,"NORMAL","WEEKDAY"
2016-07-29 05:30:00,46.59,1.59,85.75,58.58,"NORMAL","WEEKDAY"
2016-07-30 05:30:00,34.03,1.3,44.27,NA,"NORMAL","WEEKEND"
2016-07-31 05:30:00,23.21,1.08,87.23,NA,"NORMAL","WEEKEND"
2016-08-01 05:30:00,20.43,0.98,47.94,22.59,"NORMAL","WEEKDAY"
2016-08-02 05:30:00,28.03,1.13,70.93,31.79,"NORMAL","WEEKDAY"
